学籍番号,名前,IDm,入室時刻,出欠
S002,揚村巴絵,012E44A7A518527D,00:00:00,欠席
S004,荒松晴一,012E44A7A518807A,00:00:00,欠席
S006,飯坂新司,012E44A7A515A75C,00:00:00,欠席
S007,池澄晃樹,012E44A7A5158B31,00:00:00,欠席
S013,井内早絵子,012E44A7A5157F61,16:28:56,欠席
S014,入澤結香,012E44A7A5156A5A,00:00:00,欠席
S022,大舘俊幸,012E44A7A5123042,16:28:42,欠席
S023,大野貴暁,012E44A7A5123C39,16:28:05,欠席
S025,岡松慎一郎,012E44A7A5185F32,00:00:00,欠席
S034,城崎成寿,012E44A7A518712C,00:00:00,欠席
S035,貴下紗侑里,012E44A7A5187159,16:28:38,欠席
S036,木野大右,012E44A7A5185BA4,00:00:00,欠席
S041,久保西敏憲,012E44A7A515317D,00:00:00,欠席
S042,古岩井忠利,012E44A7A5116953,00:00:00,欠席
S047,佐中将幸,012E44A7A5152584,00:00:00,欠席
S055,滝田俊明,012E44A7A5155770,00:00:00,欠席
S060,鄭健一郎,012E44A7A515235C,00:00:00,欠席
S065,戸津崎礼央奈,012E44A7A515A494,00:00:00,欠席
S066,友藤竜治,012E44A7A5188758,00:00:00,欠席
S069,中妻潔志,012E44A7A5188329,00:00:00,欠席
S070,中松光一,012E44A7A515305C,16:28:20,欠席
S076,波佐間敬次,012E44A7A5157E58,00:00:00,欠席
S077,蓮池夕加里,012E44A7A5159335,00:00:00,欠席
S083,樋爪顕治,012E44A7A5182058,16:28:32,欠席
S086,深野木茂則,012E44A7A518AB94,00:00:00,欠席
S089,八下田駿佑,012E44A7A51832AB,16:28:48,欠席
S090,八武崎榛菜,012E44A7A518A145,00:00:00,欠席
