学籍番号,名前,IDm,入室時刻,出欠
S004,荒松晴一,012E44A7A518807A,13:30:20,出席
S005,有福政昭,012E44A7A5159B8D,13:29:43,出席
S008,石長佐久子,012E44A7A5154DAF,13:29:06,遅刻
S009,泉川弘仁,012E44A7A51549A3,13:29:53,出席
S011,市之瀬龍治,012E44A7A5156DA9,13:29:23,遅刻
S023,大野貴暁,012E44A7A5123C39,13:31:20,欠席
S026,小笠公平,012E44A7A5181C82,13:30:27,出席
S035,貴下紗侑里,012E44A7A5187159,13:31:12,出席
S045,古明地宏人,012E44A7A5124687,13:31:44,出席
S050,下河内公成,012E44A7A51596B6,13:30:01,出席
S053,隅田庸介,012E44A7A515BF58,13:31:04,出席
S059,檀野康昭,012E44A7A5117AA5,13:30:52,出席
S069,中妻潔志,012E44A7A5188329,13:30:59,欠席
S075,萩間敦大,012E44A7A5158231,13:29:34,出席
S080,花本圭祐,012E44A7A5184C7F,13:31:37,出席
S082,日髙貴幸,012E44A7A518C560,13:29:20,出席
S084,平野仰,012E44A7A51853A1,13:30:13,出席
S088,矢形具美,012E44A7A51869B3,13:30:42,出席
S092,行田博彦,012E44A7A51586AF,13:30:35,出席
S093,柞木道典,012E44A7A5157F5B,13:29:46,出席
S095,吉中龍之介,012E44A7A5151E70,13:31:25,出席
S100,渡利雄祐,012E44A7A5112853,13:29:10,遅刻
