学籍番号,名前,IDm,入室時刻,出欠
S001,相道森,012E44A7A5187429,13:39:52.222210,遅刻
S002,揚村巴絵,012E44A7A518527D,13:26:51.976392,出席
S003,浅井礼子,012E44A7A5152B9F,13:28:14.067664,出席
S004,荒松晴一,012E44A7A518807A,13:29:35.217555,出席
S005,有福政昭,012E44A7A5159B8D,13:35:44.938122,遅刻
S006,飯坂新司,012E44A7A515A75C,13:37:54.123227,遅刻
S007,池澄晃樹,012E44A7A5158B31,00:00:00,欠席
S008,石長佐久子,012E44A7A5154DAF,00:00:00,欠席
S009,泉川弘仁,012E44A7A51549A3,13:34:44.861460,遅刻
S010,礒田睦史,012E44A7A5126FBC,13:37:17.081724,遅刻
S011,市之瀬龍治,012E44A7A5156DA9,13:26:03.886219,出席
S012,井手窪克茂,012E44A7A51253C2,13:41:03.315100,欠席
S013,井内早絵子,012E44A7A5157F61,00:00:00,欠席
S014,入澤結香,012E44A7A5156A5A,00:00:00,欠席
S015,印公一,012E44A7A5117921,13:35:33.923334,遅刻
S016,浦松拓治,012E44A7A512676D,13:30:02.249537,遅刻
S017,恵島康道,012E44A7A515B97D,00:00:00,欠席
S018,越前広,012E44A7A5159FA1,00:00:00,欠席
S019,江積幸廣,012E44A7A51581AB,13:37:26.105178,遅刻
S020,太内信章,012E44A7A5153B80,13:36:49.008971,遅刻
S021,太田島映実,012E44A7A5159A7E,00:00:00,欠席
S022,大舘俊幸,012E44A7A5123042,13:33:54.802705,遅刻
S023,大野貴暁,012E44A7A5123C39,00:00:00,欠席
S024,大波多英三,012E44A7A518422C,00:00:00,欠席
S025,岡松慎一郎,012E44A7A5185F32,00:00:00,欠席
S026,小笠公平,012E44A7A5181C82,13:30:12.275537,遅刻
S027,小桐純孝,012E44A7A5188A23,00:00:00,欠席
S028,奥名浩佑,012E44A7A5152D87,13:40:17.248698,欠席
S029,折原はな,012E44A7A5185F5A,13:29:00.165844,出席
S030,風洋司,012E44A7A518A873,13:26:56.999672,出席
S031,株竹智信,012E44A7A5188F3F,00:00:00,欠席
S032,茅根信道,012E44A7A5189699,13:37:15.055213,遅刻
S033,木口屋一輝,012E44A7A5183188,00:00:00,欠席
S034,城崎成寿,012E44A7A518712C,00:00:00,欠席
S035,貴下紗侑里,012E44A7A5187159,13:26:43.934032,出席
S036,木野大右,012E44A7A5185BA4,00:00:00,欠席
S037,清冨芳博,012E44A7A515B76D,00:00:00,欠席
S038,木和田英記,012E44A7A515B86F,00:00:00,欠席
S039,久木原光貴,012E44A7A5129197,13:33:41.781888,遅刻
S040,串間洋治,012E44A7A5123A87,13:41:15.340304,欠席
S041,久保西敏憲,012E44A7A515317D,00:00:00,欠席
S042,古岩井忠利,012E44A7A5116953,00:00:00,欠席
S043,古橋哲幸,012E44A7A5115950,00:00:00,欠席
S044,小橋川睦夫,012E44A7A512663E,00:00:00,欠席
S045,古明地宏人,012E44A7A5124687,00:00:00,欠席
S046,作花譲,012E44A7A51538A8,00:00:00,欠席
S047,佐中将幸,012E44A7A5152584,13:28:59.151512,出席
S048,澤元詠一,012E44A7A518581E,13:36:05.968501,遅刻
S049,下川香,012E44A7A5186DA7,13:33:27.755831,遅刻
S050,下河内公成,012E44A7A51596B6,13:41:51.380960,欠席
S051,白鳥一功,012E44A7A512394B,00:00:00,欠席
S052,末満泰治,012E44A7A511AE80,00:00:00,欠席
S053,隅田庸介,012E44A7A515BF58,13:34:43.845549,遅刻
S054,鷹取知也,012E44A7A515587D,13:39:38.202979,遅刻
S055,滝田俊明,012E44A7A5155770,13:41:35.364599,欠席
S056,田盛毅彦,012E44A7A5111D86,00:00:00,欠席
S057,田屋洋志,012E44A7A5127B45,00:00:00,欠席
S058,太矢浩将,012E44A7A5127497,00:00:00,欠席
S059,檀野康昭,012E44A7A5117AA5,13:37:18.095678,遅刻
S060,鄭健一郎,012E44A7A515235C,00:00:00,欠席
S061,東矢千裕,012E44A7A512963F,00:00:00,欠席
S062,東山勇人,012E44A7A5158A31,13:35:59.948112,遅刻
S063,得永希予,012E44A7A5113FB6,00:00:00,欠席
S064,徳益榮,012E44A7A5154E78,13:33:31.769905,遅刻
S065,戸津崎礼央奈,012E44A7A515A494,13:35:04.902812,遅刻
S066,友藤竜治,012E44A7A5188758,13:28:06.045882,出席
S067,豊長夢香,012E44A7A518528F,00:00:00,欠席
S068,堂脇一志,012E44A7A5185054,13:42:23.402847,欠席
S069,中妻潔志,012E44A7A5188329,00:00:00,欠席
S070,中松光一,012E44A7A515305C,13:38:51.167850,遅刻
S071,西垣内利秀,012E44A7A5129B45,13:30:35.325229,遅刻
S072,西関真寿,012E44A7A5158998,13:34:47.878797,遅刻
S073,登祐平,012E44A7A511AC3F,00:00:00,欠席
S074,野焼城司,012E44A7A515729B,00:00:00,欠席
S075,萩間敦大,012E44A7A5158231,00:00:00,欠席
S076,波佐間敬次,012E44A7A5157E58,13:40:26.272180,欠席
S077,蓮池夕加里,012E44A7A5159335,00:00:00,欠席
S078,初山孝徳,012E44A7A5159E8F,00:00:00,欠席
S079,波頭直司,012E44A7A518269E,13:39:33.180980,遅刻
S080,花本圭祐,012E44A7A5184C7F,13:37:04.031814,遅刻
S081,菱泰章,012E44A7A5185260,00:00:00,欠席
S082,日髙貴幸,012E44A7A518C560,13:40:04.236279,欠席
S083,樋爪顕治,012E44A7A5182058,00:00:00,欠席
S084,平野仰,012E44A7A51853A1,00:00:00,欠席
S085,広文哉,012E44A7A51875B5,13:27:45.025664,出席
S086,深野木茂則,012E44A7A518AB94,00:00:00,欠席
S087,村濱準二,012E44A7A518296D,13:42:24.428658,欠席
S088,矢形具美,012E44A7A51869B3,13:30:30.295240,遅刻
S089,八下田駿佑,012E44A7A51832AB,00:00:00,欠席
S090,八武崎榛菜,012E44A7A518A145,00:00:00,欠席
S091,山畑照樹,012E44A7A5128D80,13:38:34.151068,遅刻
S092,行田博彦,012E44A7A51586AF,13:36:21.988498,遅刻
S093,柞木道典,012E44A7A5157F5B,00:00:00,欠席
S094,弓座義政,012E44A7A515207D,00:00:00,欠席
S095,吉中龍之介,012E44A7A5151E70,13:34:20.824331,遅刻
S096,吉馴典和,012E44A7A518A8B0,00:00:00,欠席
S097,吉広清悟,012E44A7A5125552,00:00:00,欠席
S098,吉光幸太,012E44A7A518BB99,00:00:00,欠席
S099,与那豊茂,012E44A7A5188331,00:00:00,欠席
S100,渡利雄祐,012E44A7A5112853,00:00:00,欠席
