学籍番号,名前,IDm,入室時刻,出欠
S004,荒松晴一,012E44A7A518807A,12:38:56,出席
S005,有福政昭,012E44A7A5159B8D,00:00:00,欠席
S008,石長佐久子,012E44A7A5154DAF,12:38:45,出席
S009,泉川弘仁,012E44A7A51549A3,12:39:14,出席
S011,市之瀬龍治,012E44A7A5156DA9,12:39:39,出席
S023,大野貴暁,012E44A7A5123C39,12:37:56,出席
S026,小笠公平,012E44A7A5181C82,12:39:04,出席
S035,貴下紗侑里,012E44A7A5187159,12:38:34,出席
S045,古明地宏人,012E44A7A5124687,12:39:58,出席
S050,下河内公成,012E44A7A51596B6,12:38:15,出席
S053,隅田庸介,012E44A7A515BF58,12:38:53,出席
S059,檀野康昭,012E44A7A5117AA5,12:37:52,出席
S069,中妻潔志,012E44A7A5188329,12:39:51,出席
S075,萩間敦大,012E44A7A5158231,12:39:59,出席
S080,花本圭祐,012E44A7A5184C7F,12:39:50,出席
S082,日髙貴幸,012E44A7A518C560,12:39:07,出席
S084,平野仰,012E44A7A51853A1,12:38:09,出席
S088,矢形具美,012E44A7A51869B3,12:38:18,出席
S092,行田博彦,012E44A7A51586AF,12:38:31,出席
S093,柞木道典,012E44A7A5157F5B,12:39:30,出席
S095,吉中龍之介,012E44A7A5151E70,12:39:33,出席
S100,渡利雄祐,012E44A7A5112853,12:39:22,出席
